#,Date-Time (MDT),Temperature   (°C),Started,Button Down,Button Up,Low Power Warning,End of File
1,07/01/2025 12:30:00,23.914,Logged,,,,
2,07/01/2025 12:45:00,24.644,,,,,
3,07/01/2025 13:00:00,25.051,,,,,
4,07/01/2025 13:15:00,25.416,,,,,
5,07/01/2025 13:30:00,25.748,,,,,
6,07/01/2025 13:45:00,26.081,,,,,
7,07/01/2025 14:00:00,26.402,,,,,
8,07/01/2025 14:15:00,26.746,,,,,
9,07/01/2025 14:30:00,27.003,,,,,
10,07/01/2025 14:45:00,27.260,,,,,
11,07/01/2025 15:00:00,27.453,,,,,
12,07/01/2025 15:15:00,27.529,,,,,
13,07/01/2025 15:30:00,27.443,,,,,
14,07/01/2025 15:45:00,27.271,,,,,
15,07/01/2025 16:00:00,27.164,,,,,
16,07/01/2025 16:15:00,27.057,,,,,
17,07/01/2025 16:30:00,26.906,,,,,
18,07/01/2025 16:45:00,26.724,,,,,
19,07/01/2025 17:00:00,26.499,,,,,
20,07/01/2025 17:15:00,26.317,,,,,
21,07/01/2025 17:30:00,26.177,,,,,
22,07/01/2025 17:45:00,25.909,,,,,
23,07/01/2025 18:00:00,25.673,,,,,
24,07/01/2025 18:15:00,25.502,,,,,
25,07/01/2025 18:30:00,25.319,,,,,
26,07/01/2025 18:45:00,25.105,,,,,
27,07/01/2025 19:00:00,24.901,,,,,
28,07/01/2025 19:15:00,24.676,,,,,
29,07/01/2025 19:30:00,24.461,,,,,
30,07/01/2025 19:45:00,24.279,,,,,
31,07/01/2025 20:00:00,24.054,,,,,
32,07/01/2025 20:15:00,23.903,,,,,
33,07/01/2025 20:30:00,23.764,,,,,
34,07/01/2025 20:45:00,23.668,,,,,
35,07/01/2025 21:00:00,23.603,,,,,
36,07/01/2025 21:15:00,23.539,,,,,
37,07/01/2025 21:30:00,23.453,,,,,
38,07/01/2025 21:45:00,23.367,,,,,
39,07/01/2025 22:00:00,23.239,,,,,
40,07/01/2025 22:15:00,23.121,,,,,
41,07/01/2025 22:30:00,22.992,,,,,
42,07/01/2025 22:45:00,22.874,,,,,
43,07/01/2025 23:00:00,22.788,,,,,
44,07/01/2025 23:15:00,22.638,,,,,
45,07/01/2025 23:30:00,22.552,,,,,
46,07/01/2025 23:45:00,22.381,,,,,
47,07/02/2025 00:00:00,22.273,,,,,
48,07/02/2025 00:15:00,22.102,,,,,
49,07/02/2025 00:30:00,21.984,,,,,
50,07/02/2025 00:45:00,21.823,,,,,
51,07/02/2025 01:00:00,21.673,,,,,
52,07/02/2025 01:15:00,21.480,,,,,
53,07/02/2025 01:30:00,21.308,,,,,
54,07/02/2025 01:45:00,21.158,,,,,
55,07/02/2025 02:00:00,20.997,,,,,
56,07/02/2025 02:15:00,20.825,,,,,
57,07/02/2025 02:30:00,20.664,,,,,
58,07/02/2025 02:45:00,20.493,,,,,
59,07/02/2025 03:00:00,20.332,,,,,
60,07/02/2025 03:15:00,20.193,,,,,
61,07/02/2025 03:30:00,20.032,,,,,
62,07/02/2025 03:45:00,19.903,,,,,
63,07/02/2025 04:00:00,19.753,,,,,
64,07/02/2025 04:15:00,19.656,,,,,
65,07/02/2025 04:30:00,19.560,,,,,
66,07/02/2025 04:45:00,19.410,,,,,
67,07/02/2025 05:00:00,19.302,,,,,
68,07/02/2025 05:15:00,19.217,,,,,
69,07/02/2025 05:30:00,19.099,,,,,
70,07/02/2025 05:45:00,19.013,,,,,
71,07/02/2025 06:00:00,18.938,,,,,
72,07/02/2025 06:15:00,18.863,,,,,
73,07/02/2025 06:30:00,18.809,,,,,
74,07/02/2025 06:45:00,18.788,,,,,
75,07/02/2025 07:00:00,18.777,,,,,
76,07/02/2025 07:15:00,18.755,,,,,
77,07/02/2025 07:30:00,18.777,,,,,
78,07/02/2025 07:45:00,18.830,,,,,
79,07/02/2025 08:00:00,18.916,,,,,
80,07/02/2025 08:15:00,19.002,,,,,
81,07/02/2025 08:30:00,19.142,,,,,
82,07/02/2025 08:45:00,19.292,,,,,
83,07/02/2025 09:00:00,19.474,,,,,
84,07/02/2025 09:15:00,19.667,,,,,
85,07/02/2025 09:30:00,19.871,,,,,
86,07/02/2025 09:45:00,20.139,,,,,
87,07/02/2025 10:00:00,20.418,,,,,
88,07/02/2025 10:15:00,20.729,,,,,
89,07/02/2025 10:30:00,21.040,,,,,
90,07/02/2025 10:45:00,21.362,,,,,
91,07/02/2025 11:00:00,21.683,,,,,
92,07/02/2025 11:15:00,22.048,,,,,
93,07/02/2025 11:30:00,22.445,,,,,
94,07/02/2025 11:45:00,22.820,,,,,
95,07/02/2025 12:00:00,23.217,,,,,
96,07/02/2025 12:15:00,23.614,,,,,
97,07/02/2025 12:30:00,24.011,,,,,
98,07/02/2025 12:45:00,24.397,,,,,
99,07/02/2025 13:00:00,24.751,,,,,
100,07/02/2025 13:15:00,25.148,,,,,
101,07/02/2025 13:30:00,25.469,,,,,
102,07/02/2025 13:45:00,25.780,,,,,
103,07/02/2025 14:00:00,26.059,,,,,
104,07/02/2025 14:15:00,26.381,,,,,
105,07/02/2025 14:30:00,26.660,,,,,
106,07/02/2025 14:45:00,26.896,,,,,
107,07/02/2025 15:00:00,27.121,,,,,
108,07/02/2025 15:15:00,27.282,,,,,
109,07/02/2025 15:30:00,27.411,,,,,
110,07/02/2025 15:45:00,27.571,,,,,
111,07/02/2025 16:00:00,27.732,,,,,
112,07/02/2025 16:15:00,27.818,,,,,
113,07/02/2025 16:30:00,27.754,,,,,
114,07/02/2025 16:45:00,27.786,,,,,
115,07/02/2025 17:00:00,27.732,,,,,
116,07/02/2025 17:15:00,27.722,,,,,
117,07/02/2025 17:30:00,27.668,,,,,
118,07/02/2025 17:45:00,27.593,,,,,
119,07/02/2025 18:00:00,27.475,,,,,
120,07/02/2025 18:15:00,27.336,,,,,
121,07/02/2025 18:30:00,27.175,,,,,
122,07/02/2025 18:45:00,26.971,,,,,
123,07/02/2025 19:00:00,26.767,,,,,
124,07/02/2025 19:15:00,26.542,,,,,
125,07/02/2025 19:30:00,26.263,,,,,
126,07/02/2025 19:45:00,26.038,,,,,
127,07/02/2025 20:00:00,25.748,,,,,
128,07/02/2025 20:15:00,25.534,,,,,
129,07/02/2025 20:30:00,25.298,,,,,
130,07/02/2025 20:45:00,25.094,,,,,
131,07/02/2025 21:00:00,24.912,,,,,
132,07/02/2025 21:15:00,24.665,,,,,
133,07/02/2025 21:30:00,24.429,,,,,
134,07/02/2025 21:45:00,24.214,,,,,
135,07/02/2025 22:00:00,24.075,,,,,
136,07/02/2025 22:15:00,24.011,,,,,
137,07/02/2025 22:30:00,23.957,,,,,
138,07/02/2025 22:45:00,23.871,,,,,
139,07/02/2025 23:00:00,23.796,,,,,
140,07/02/2025 23:15:00,23.603,,,,,
141,07/02/2025 23:30:00,23.474,,,,,
142,07/02/2025 23:45:00,23.324,,,,,
143,07/03/2025 00:00:00,23.174,,,,,
144,07/03/2025 00:15:00,23.078,,,,,
145,07/03/2025 00:30:00,22.917,,,,,
146,07/03/2025 00:45:00,22.745,,,,,
147,07/03/2025 01:00:00,22.552,,,,,
148,07/03/2025 01:15:00,22.370,,,,,
149,07/03/2025 01:30:00,22.187,,,,,
150,07/03/2025 01:45:00,21.984,,,,,
151,07/03/2025 02:00:00,21.791,,,,,
152,07/03/2025 02:15:00,21.598,,,,,
153,07/03/2025 02:30:00,21.437,,,,,
154,07/03/2025 02:45:00,21.265,,,,,
155,07/03/2025 03:00:00,21.093,,,,,
156,07/03/2025 03:15:00,20.911,,,,,
157,07/03/2025 03:30:00,20.772,,,,,
158,07/03/2025 03:45:00,20.622,,,,,
159,07/03/2025 04:00:00,20.471,,,,,
160,07/03/2025 04:15:00,20.364,,,,,
161,07/03/2025 04:30:00,20.235,,,,,
162,07/03/2025 04:45:00,20.096,,,,,
163,07/03/2025 05:00:00,19.978,,,,,
164,07/03/2025 05:15:00,19.882,,,,,
165,07/03/2025 05:30:00,19.753,,,,,
166,07/03/2025 05:45:00,19.656,,,,,
167,07/03/2025 06:00:00,19.581,,,,,
168,07/03/2025 06:15:00,19.485,,,,,
169,07/03/2025 06:30:00,19.442,,,,,
170,07/03/2025 06:45:00,19.388,,,,,
171,07/03/2025 07:00:00,19.345,,,,,
172,07/03/2025 07:15:00,19.302,,,,,
173,07/03/2025 07:30:00,19.324,,,,,
174,07/03/2025 07:45:00,19.313,,,,,
175,07/03/2025 08:00:00,19.377,,,,,
176,07/03/2025 08:15:00,19.420,,,,,
177,07/03/2025 08:30:00,19.485,,,,,
178,07/03/2025 08:45:00,19.603,,,,,
179,07/03/2025 09:00:00,19.774,,,,,
180,07/03/2025 09:15:00,19.935,,,,,
181,07/03/2025 09:30:00,20.150,,,,,
182,07/03/2025 09:45:00,20.386,,,,,
183,07/03/2025 10:00:00,20.622,,,,,
184,07/03/2025 10:15:00,20.879,,,,,
185,07/03/2025 10:30:00,21.190,,,,,
186,07/03/2025 10:45:00,21.533,,,,,
187,07/03/2025 11:00:00,21.834,,,,,
188,07/03/2025 11:15:00,22.198,,,,,
189,07/03/2025 11:30:00,22.541,,,,,
190,07/03/2025 11:45:00,22.938,,,,,
191,07/03/2025 12:00:00,23.324,,,,,
192,07/03/2025 12:15:00,23.721,,,,,
193,07/03/2025 12:30:00,24.043,,,,,
194,07/03/2025 12:45:00,24.440,,,,,
195,07/03/2025 13:00:00,24.815,,,,,
196,07/03/2025 13:15:00,25.169,,,,,
197,07/03/2025 13:30:00,25.555,,,,,
198,07/03/2025 13:45:00,25.888,,,,,
199,07/03/2025 14:00:00,26.263,,,,,
200,07/03/2025 14:15:00,26.585,,,,,
201,07/03/2025 14:30:00,26.896,,,,,
202,07/03/2025 14:45:00,27.185,,,,,
203,07/03/2025 15:00:00,27.496,,,,,
204,07/03/2025 15:15:00,27.732,,,,,
205,07/03/2025 15:30:00,27.893,,,,,
206,07/03/2025 15:45:00,28.000,,,,,
207,07/03/2025 16:00:00,28.065,,,,,
208,07/03/2025 16:15:00,28.140,,,,,
209,07/03/2025 16:30:00,28.258,,,,,
210,07/03/2025 16:45:00,28.344,,,,,
211,07/03/2025 17:00:00,28.365,,,,,
212,07/03/2025 17:15:00,28.344,,,,,
213,07/03/2025 17:30:00,28.269,,,,,
214,07/03/2025 17:45:00,28.215,,,,,
215,07/03/2025 18:00:00,28.151,,,,,
216,07/03/2025 18:15:00,27.958,,,,,
217,07/03/2025 18:30:00,27.711,,,,,
218,07/03/2025 18:45:00,27.453,,,,,
219,07/03/2025 19:00:00,27.196,,,,,
220,07/03/2025 19:15:00,26.971,,,,,
221,07/03/2025 19:30:00,26.692,,,,,
222,07/03/2025 19:45:00,26.435,,,,,
223,07/03/2025 20:00:00,26.177,,,,,
224,07/03/2025 20:15:00,25.941,,,,,
225,07/03/2025 20:30:00,25.770,,,,,
226,07/03/2025 20:45:00,25.587,,,,,
227,07/03/2025 21:00:00,25.437,,,,,
228,07/03/2025 21:15:00,25.351,,,,,
229,07/03/2025 21:30:00,25.244,,,,,
230,07/03/2025 21:45:00,25.083,,,,,
231,07/03/2025 22:00:00,24.912,,,,,
232,07/03/2025 22:15:00,24.729,,,,,
233,07/03/2025 22:30:00,24.558,,,,,
234,07/03/2025 22:45:00,24.440,,,,,
235,07/03/2025 23:00:00,24.322,,,,,
236,07/03/2025 23:15:00,24.236,,,,,
237,07/03/2025 23:30:00,24.129,,,,,
238,07/03/2025 23:45:00,23.968,,,,,
239,07/04/2025 00:00:00,23.818,,,,,
240,07/04/2025 00:15:00,23.625,,,,,
241,07/04/2025 00:30:00,23.432,,,,,
242,07/04/2025 00:45:00,23.260,,,,,
243,07/04/2025 01:00:00,23.099,,,,,
244,07/04/2025 01:15:00,22.917,,,,,
245,07/04/2025 01:30:00,22.777,,,,,
246,07/04/2025 01:45:00,22.649,,,,,
247,07/04/2025 02:00:00,22.509,,,,,
248,07/04/2025 02:15:00,22.359,,,,,
249,07/04/2025 02:30:00,22.241,,,,,
250,07/04/2025 02:45:00,22.123,,,,,
251,07/04/2025 03:00:00,22.005,,,,,
252,07/04/2025 03:15:00,21.909,,,,,
253,07/04/2025 03:30:00,21.823,,,,,
254,07/04/2025 03:45:00,21.726,,,,,
255,07/04/2025 04:00:00,21.630,,,,,
256,07/04/2025 04:15:00,21.533,,,,,
257,07/04/2025 04:30:00,21.415,,,,,
258,07/04/2025 04:45:00,21.362,,,,,
259,07/04/2025 05:00:00,21.265,,,,,
260,07/04/2025 05:15:00,21.190,,,,,
261,07/04/2025 05:30:00,21.169,,,,,
262,07/04/2025 05:45:00,21.051,,,,,
263,07/04/2025 06:00:00,20.976,,,,,
264,07/04/2025 06:15:00,20.911,,,,,
265,07/04/2025 06:30:00,20.825,,,,,
266,07/04/2025 06:45:00,20.772,,,,,
267,07/04/2025 07:00:00,20.729,,,,,
268,07/04/2025 07:15:00,20.707,,,,,
269,07/04/2025 07:30:00,20.686,,,,,
270,07/04/2025 07:45:00,20.643,,,,,
